"Name","Ticker","Morningstar Category","US Category Group","Firm Name","Inception 
Date","Manager Name","Clean Share - Service Fee Arrangement","Annual Report 
Net Expense 
Ratio 
Year2017","Annual Report 
Net Expense 
Ratio 
Year2018","Annual Report 
Net Expense 
Ratio 
Year2019","Annual Report 
Net Expense 
Ratio","Net Assets 
Date","Net Assets 
- Share Class 
USD","Fund Size 
Date","Fund Size 
USD","Oldest 
Share Class","Management 
Fee","Prospectus 
Net Expense 
Ratio","Share Class Type","Index 
Fund","Alpha 
1 Yr (Mo-End) 
USD","Alpha 
3 Yr (Mo-End) 
USD","Alpha 
5 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
1 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
3 Yr (Mo-End) 
USD","Est Share Class 
Net Flow 
5 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
1 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
3 Yr (Mo-End) 
USD","Est Fund-Level 
Net Flow 
5 Yr (Mo-End) 
USD","Socially 
Conscious","Annual Report 
Expense Waiver 
Year2017","Annual Report 
Expense Waiver 
Year2018","Annual Report 
Expense Waiver 
Year2019","Annual Report 
Expense Waiver","Annual Report Expense Waiver Amount 
Year2017 
USD","Annual Report Expense Waiver Amount 
Year2018 
USD","Annual Report Expense Waiver Amount 
Year2019 
USD","Annual Report Expense Waiver Amount 
USD","Prospectus Expense Waiver","Prospectus Expense Waiver 
Expiration Date","Prospectus Expense Waiver Type","Management Fee 
1st Breakpoint","Management Fee 
2nd Breakpoint","Management Fee 
3rd Breakpoint","Management Fee 
4th Breakpoint","Management Fee 
5th Breakpoint","Management Fee 
6th Breakpoint","Management Fee 
7th Breakpoint","Management Fee 
8th Breakpoint","Management Fee 
9th Breakpoint","Management Fee 
Breakpoint Unit","Net Assets - share class (Monthly) 
2017-01 
USD","Net Assets - share class (Monthly) 
2017-02 
USD","Net Assets - share class (Monthly) 
2017-03 
USD","Net Assets - share class (Monthly) 
2017-04 
USD","Net Assets - share class (Monthly) 
2017-05 
USD","Net Assets - share class (Monthly) 
2017-06 
USD","Net Assets - share class (Monthly) 
2017-07 
USD","Net Assets - share class (Monthly) 
2017-08 
USD","Net Assets - share class (Monthly) 
2017-09 
USD","Net Assets - share class (Monthly) 
2017-10 
USD","Net Assets - share class (Monthly) 
2017-11 
USD","Net Assets - share class (Monthly) 
2017-12 
USD","Net Assets - share class (Monthly) 
2018-01 
USD","Net Assets - share class (Monthly) 
2018-02 
USD","Net Assets - share class (Monthly) 
2018-03 
USD","Net Assets - share class (Monthly) 
2018-04 
USD","Net Assets - share class (Monthly) 
2018-05 
USD","Net Assets - share class (Monthly) 
2018-06 
USD","Net Assets - share class (Monthly) 
2018-07 
USD","Net Assets - share class (Monthly) 
2018-08 
USD","Net Assets - share class (Monthly) 
2018-09 
USD","Net Assets - share class (Monthly) 
2018-10 
USD","Net Assets - share class (Monthly) 
2018-11 
USD","Net Assets - share class (Monthly) 
2018-12 
USD","Net Assets - share class (Monthly) 
2019-01 
USD","Net Assets - share class (Monthly) 
2019-02 
USD","Net Assets - share class (Monthly) 
2019-03 
USD","Net Assets - share class (Monthly) 
2019-04 
USD","Net Assets - share class (Monthly) 
2019-05 
USD","Net Assets - share class (Monthly) 
2019-06 
USD","Net Assets - share class (Monthly) 
2019-07 
USD","Net Assets - share class (Monthly) 
2019-08 
USD","Net Assets - share class (Monthly) 
2019-09 
USD","Net Assets - share class (Monthly) 
2019-10 
USD","Net Assets - share class (Monthly) 
2019-11 
USD","Net Assets - share class (Monthly) 
2019-12 
USD"
"Wells Fargo Intrinsic Small Cap Val C","WSCDX","US Fund Small Blend","U.S. Equity","Wells Fargo Funds","2008-03-31","Christopher G. Miller;Theran Motl;","Bundled","2.10","2.10","2.10","2.10","2020-06-11","162,502.00","2020-06-11","41,577,789.00","No","0.85","2.10","C","No","-26.41","-15.00","-11.86","-267,626.54","-657,086.79","-180,960.03","-16,007,497.45","-38,755,393.38","-119,558,556.28","No","0.14","0.20","0.20","0.24","622","1,673","1,425","907","0.19","2020-07-31","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","3,000,000,000.00","4,000,000,000.00","5,000,000,000.00","10,000,000,000.00","","","Monetary/Dollars","861,868.00","925,798.00","988,756.00","976,753.00","787,734.00","764,406.00","770,869.00","765,696.00","825,372.00","828,087.00","853,922.00","858,177.00","890,752.00","845,069.00","839,828.00","836,354.00","845,349.00","843,699.00","860,711.00","781,551.00","706,675.00","635,174.00","644,584.00","546,507.00","623,967.00","567,300.00","526,058.00","513,662.00","446,948.00","444,524.00","430,001.00","342,751.00","357,729.00","347,154.00","349,027.00","352,686.00"
"Wells Fargo Intrinsic Small Cap Val Inst","WFSSX","US Fund Small Blend","U.S. Equity","Wells Fargo Funds","2005-04-08","Christopher G. Miller;Theran Motl;","Semi-bundled","1.00","1.00","1.00","1.00","2020-06-11","8,585,843.00","2020-06-11","41,577,789.00","Yes","0.85","1.00","Inst","No","-25.30","-13.91","-10.78","-10,490,356.67","-18,495,314.66","-81,110,509.91","-16,007,497.45","-38,755,393.38","-119,558,556.28","No","0.14","0.20","0.20","0.27","80,753","54,382","50,802","51,119","0.21","2020-07-31","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","3,000,000,000.00","4,000,000,000.00","5,000,000,000.00","10,000,000,000.00","","","Monetary/Dollars","64,094,800.00","64,132,655.00","59,947,384.00","28,180,177.00","27,178,891.00","27,883,373.00","27,931,534.00","23,388,191.00","25,191,476.00","25,157,369.00","25,807,013.00","26,808,339.00","29,308,350.00","28,039,949.00","28,056,752.00","27,812,306.00","27,505,322.00","27,149,677.00","27,486,060.00","27,645,175.00","27,075,091.00","23,735,693.00","24,120,532.00","21,017,112.00","23,452,274.00","24,167,302.00","21,395,678.00","22,296,720.00","20,380,102.00","21,349,379.00","20,352,059.00","19,096,669.00","19,937,879.00","20,353,613.00","18,774,988.00","18,162,295.00"
"Wells Fargo Intrinsic Small Cap Value R6","WFSJX","US Fund Small Blend","U.S. Equity","Wells Fargo Funds","2020-06-01","Christopher G. Miller;Theran Motl;","","","","","","2020-06-11","24,468.00","2020-06-11","41,577,789.00","No","0.85","0.81","Retirement","No","","","","","","","-16,007,497.45","-38,755,393.38","-119,558,556.28","No","","","","","","","","","0.28","2021-07-31","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","3,000,000,000.00","4,000,000,000.00","5,000,000,000.00","10,000,000,000.00","","","Monetary/Dollars","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wells Fargo Intrinsic World Equity A","EWEAX","US Fund World Large Stock","International Equity","Wells Fargo Funds","1996-04-30","Jean-Baptiste Nadal;Miguel E. Giaconi;Amit Kumar;","Bundled","1.35","1.35","1.35","1.35","2020-06-11","116,306,194.00","2020-06-11","126,862,033.00","Yes","0.85","1.35","A","No","2.29","3.38","3.07","-11,776,288.57","-34,000,272.16","-67,905,353.29","-11,567,000.84","-42,072,567.29","-80,631,369.91","No","0.12","0.13","0.12","0.12","163,993","180,234","163,217","163,217","0.12","2021-02-28","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","131,339,115.00","133,145,608.00","134,826,912.00","136,443,773.00","138,647,566.00","138,521,403.00","142,186,115.00","140,346,574.00","142,173,151.00","141,861,573.00","144,821,998.00","144,913,078.00","152,604,145.00","144,325,691.00","141,256,889.00","142,401,890.00","139,617,883.00","139,499,467.00","144,045,919.00","143,082,253.00","142,972,717.00","132,286,832.00","135,499,404.00","121,659,467.00","128,029,394.00","134,985,977.00","134,633,766.00","138,789,203.00","130,653,099.00","138,691,802.00","139,004,270.00","136,598,113.00","138,485,842.00","138,848,176.00","140,654,748.00","142,544,345.00"
"Wells Fargo Intrinsic World Equity Admin","EWEIX","US Fund World Large Stock","International Equity","Wells Fargo Funds","2007-05-18","Jean-Baptiste Nadal;Miguel E. Giaconi;Amit Kumar;","Semi-bundled","1.25","1.25","1.25","1.25","2020-06-11","1,304,539.00","2020-06-11","126,862,033.00","No","0.85","1.25","Other","No","2.46","3.49","3.20","-75,320.28","-3,045,811.32","-5,083,269.54","-11,567,000.84","-42,072,567.29","-80,631,369.91","No","0.12","0.13","0.14","0.14","4,880","3,688","2,108","2,108","0.14","2021-02-28","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","3,702,381.00","3,536,473.00","3,406,375.00","3,654,871.00","3,943,900.00","4,126,501.00","4,433,955.00","4,471,208.00","4,599,726.00","4,714,905.00","4,938,943.00","4,989,744.00","5,276,611.00","4,966,122.00","1,742,160.00","1,764,856.00","1,719,708.00","1,730,159.00","1,767,461.00","1,773,563.00","1,749,935.00","1,627,742.00","1,603,824.00","1,435,850.00","1,520,332.00","1,518,937.00","1,538,244.00","1,583,511.00","1,417,949.00","1,519,255.00","1,532,841.00","1,515,842.00","1,544,443.00","1,544,209.00","1,577,241.00","1,680,796.00"
"Wells Fargo Intrinsic World Equity C","EWECX","US Fund World Large Stock","International Equity","Wells Fargo Funds","2007-05-18","Jean-Baptiste Nadal;Miguel E. Giaconi;Amit Kumar;","Bundled","2.10","2.10","2.10","2.10","2020-06-11","755,322.00","2020-06-11","126,862,033.00","No","0.85","2.10","C","No","1.56","2.63","2.33","-773,777.70","-7,116,531.51","-10,631,756.88","-11,567,000.84","-42,072,567.29","-80,631,369.91","No","0.12","0.13","0.13","0.13","8,706","8,342","3,204","3,204","0.12","2021-02-28","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","7,328,861.00","7,276,396.00","7,275,330.00","7,201,061.00","7,193,794.00","7,113,806.00","7,239,636.00","7,030,955.00","7,129,581.00","7,015,319.00","7,116,115.00","6,922,425.00","7,249,535.00","6,800,387.00","6,586,375.00","6,606,635.00","6,348,691.00","6,258,671.00","6,482,910.00","6,476,612.00","6,209,707.00","5,556,437.00","5,604,710.00","5,121,401.00","5,272,805.00","1,679,707.00","1,628,366.00","1,614,798.00","1,522,194.00","1,609,425.00","1,495,660.00","1,472,494.00","1,500,111.00","1,230,828.00","1,254,626.00","1,131,915.00"
"Wells Fargo Intrinsic World Equity Inst","EWENX","US Fund World Large Stock","International Equity","Wells Fargo Funds","2010-07-30","Jean-Baptiste Nadal;Miguel E. Giaconi;Amit Kumar;","Semi-bundled","0.95","0.95","0.95","0.95","2020-06-11","8,495,978.00","2020-06-11","126,862,033.00","No","0.85","0.95","Inst","No","2.71","3.79","3.49","1,058,385.71","2,090,047.70","2,989,009.80","-11,567,000.84","-42,072,567.29","-80,631,369.91","No","0.12","0.13","0.19","0.19","7,004","9,043","15,494","15,494","0.19","2021-02-28","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","10,000,000,000.00","","","","Monetary/Dollars","5,129,177.00","5,097,731.00","5,894,133.00","5,928,197.00","6,087,256.00","6,212,168.00","6,507,212.00","6,396,242.00","6,583,907.00","6,680,817.00","6,797,333.00","6,743,387.00","7,183,551.00","6,813,525.00","6,878,206.00","7,001,883.00","6,791,531.00","7,218,907.00","7,794,899.00","7,816,423.00","7,948,684.00","7,428,836.00","7,680,511.00","6,647,467.00","7,384,972.00","7,855,363.00","7,993,965.00","8,236,795.00","7,778,222.00","7,925,152.00","8,776,092.00","8,888,969.00","8,946,531.00","9,715,645.00","10,197,749.00","10,465,481.00"
"Wells Fargo Investment Gr Cor Bd","","US Fund Corporate Bond","Taxable Bond","Wells Fargo Funds","2017-05-23","Janet S. Rilling;Michael J. Schueller;Noah M. Wise;Mark Clegg;","Unbundled","","0.08","0.08","0.07","","","","","Yes","0.05","0.05","Other","Yes","","","","","","","","","","No","","","0.01","0.03","","7,286","35,227","82,500","","","","5,000,000,000.00","10,000,000,000.00","","","","","","","","Monetary/Dollars","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wells Fargo Large Cap Core A","EGOAX","US Fund Large Blend","U.S. Equity","Wells Fargo Funds","2007-12-17","Vince Fioramonti;Jeff C. Moser;John R. Campbell;","Bundled","1.14","1.10","1.08","1.08","2020-06-11","286,935,712.00","2020-06-11","480,333,441.00","No","0.68","1.08","A","No","-4.23","-3.62","-4.08","9,330,574.57","-427,001.93","-89,716,197.45","-438,390,816.99","-496,326,873.69","-234,280,694.93","Yes","0.11","0.14","0.15","0.15","369,992","473,120","519,744","519,744","0.11","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","336,986,684.00","346,688,566.00","321,802,448.00","322,794,918.00","324,226,375.00","325,951,382.00","330,643,042.00","326,673,518.00","335,157,085.00","344,393,846.00","352,924,308.00","355,242,125.00","375,271,446.00","358,038,407.00","347,198,185.00","346,573,202.00","354,173,498.00","350,504,549.00","361,213,492.00","370,433,039.00","369,413,519.00","334,068,558.00","334,565,994.00","300,094,335.00","321,988,463.00","333,116,982.00","336,097,446.00","344,402,856.00","313,715,132.00","340,494,281.00","341,076,911.00","328,652,100.00","340,236,428.00","341,543,767.00","342,998,888.00","342,711,970.00"
"Wells Fargo Large Cap Core Admin","WFLLX","US Fund Large Blend","U.S. Equity","Wells Fargo Funds","2010-07-16","Vince Fioramonti;Jeff C. Moser;John R. Campbell;","Semi-bundled","1.00","0.98","0.97","0.97","2020-06-11","2,234,502.00","2020-06-11","480,333,441.00","No","0.69","0.97","Other","No","-4.10","-3.50","-3.95","-11,609,571.52","-28,179,787.16","-57,512,492.71","-438,390,816.99","-496,326,873.69","-234,280,694.93","Yes","0.11","0.14","0.15","0.15","37,291","42,606","30,687","30,687","0.14","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","13,897,203.00","31,780,531.00","31,216,915.00","30,926,615.00","30,645,915.00","31,344,098.00","32,102,228.00","32,157,571.00","33,079,877.00","34,082,357.00","34,557,957.00","34,216,432.00","35,023,120.00","31,704,907.00","29,364,850.00","28,700,302.00","28,601,481.00","28,315,403.00","25,459,047.00","25,875,956.00","25,371,455.00","21,169,000.00","20,663,658.00","17,916,234.00","19,172,553.00","19,263,198.00","18,766,751.00","18,381,148.00","16,028,850.00","16,703,436.00","16,595,215.00","15,620,137.00","14,518,702.00","14,336,448.00","14,557,947.00","14,374,939.00"
"Wells Fargo Large Cap Core C","EGOCX","US Fund Large Blend","U.S. Equity","Wells Fargo Funds","2007-12-17","Vince Fioramonti;Jeff C. Moser;John R. Campbell;","Bundled","1.89","1.85","1.83","1.83","2020-06-11","36,222,626.00","2020-06-11","480,333,441.00","No","0.68","1.83","C","No","-4.99","-4.37","-4.83","-4,464,627.68","-19,319,164.29","-11,788,273.68","-438,390,816.99","-496,326,873.69","-234,280,694.93","Yes","0.11","0.14","0.15","0.15","70,209","83,766","81,351","81,351","0.11","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","61,739,930.00","62,864,222.00","61,468,941.00","60,949,957.00","59,942,999.00","59,802,816.00","60,775,826.00","59,485,891.00","60,258,454.00","61,304,004.00","62,548,733.00","63,202,371.00","66,521,966.00","63,242,973.00","61,201,762.00","60,696,845.00","62,189,816.00","60,492,211.00","61,452,798.00","62,144,892.00","61,401,105.00","56,812,820.00","55,773,779.00","48,622,356.00","52,055,060.00","50,086,691.00","49,882,151.00","50,847,353.00","45,684,028.00","47,743,573.00","47,629,442.00","45,317,782.00","45,545,530.00","45,566,269.00","47,183,955.00","45,674,013.00"
"Wells Fargo Large Cap Core Inst","EGOIX","US Fund Large Blend","U.S. Equity","Wells Fargo Funds","2007-12-17","Vince Fioramonti;Jeff C. Moser;John R. Campbell;","Semi-bundled","0.70","0.68","0.67","0.67","2020-06-11","147,841,033.00","2020-06-11","480,333,441.00","Yes","0.69","0.67","Inst","No","-3.81","-3.22","-3.65","-425,904,137.01","-457,584,236.96","-85,518,138.35","-438,390,816.99","-496,326,873.69","-234,280,694.93","Yes","0.11","0.14","0.15","0.15","664,961","894,742","973,991","973,991","0.19","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","625,699,626.00","643,060,404.00","643,354,699.00","643,282,117.00","611,277,051.00","607,555,414.00","621,556,238.00","614,299,009.00","632,770,677.00","655,298,747.00","668,240,439.00","664,598,147.00","709,279,408.00","679,972,602.00","661,572,146.00","649,325,700.00","668,784,358.00","666,262,922.00","690,771,695.00","708,610,611.00","706,257,087.00","648,274,529.00","647,668,014.00","565,643,074.00","613,349,121.00","622,767,067.00","624,846,181.00","634,438,916.00","575,932,969.00","609,210,489.00","600,697,921.00","570,799,331.00","350,664,228.00","346,105,538.00","336,328,684.00","312,035,424.00"
"Wells Fargo Large Cap Core R","EGOHX","US Fund Large Blend","U.S. Equity","Wells Fargo Funds","2015-09-30","Vince Fioramonti;Jeff C. Moser;John R. Campbell;","Bundled","1.39","1.34","1.33","1.33","2020-06-11","957,826.00","2020-06-11","480,333,441.00","No","0.69","1.33","Retirement","No","-4.50","-3.87","-4.28","-631,868.32","329,519.81","","-438,390,816.99","-496,326,873.69","-234,280,694.93","Yes","0.11","0.14","0.15","0.15","352","2,441","3,070","3,070","0.11","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","30,339.00","31,634.00","127,487.00","406,796.00","1,019,296.00","1,027,564.00","1,369,287.00","1,374,324.00","1,257,032.00","1,401,852.00","1,402,165.00","1,448,804.00","2,286,561.00","2,029,905.00","2,137,919.00","2,155,402.00","2,160,717.00","2,055,838.00","2,039,835.00","2,117,970.00","2,102,347.00","1,962,177.00","1,989,774.00","1,798,139.00","1,977,216.00","2,069,278.00","2,014,239.00","2,019,703.00","1,853,711.00","2,007,610.00","2,042,893.00","1,989,649.00","2,049,136.00","1,981,610.00","2,091,954.00","2,170,690.00"
"Wells Fargo Large Cap Core R6","EGORX","US Fund Large Blend","U.S. Equity","Wells Fargo Funds","2015-09-30","Vince Fioramonti;Jeff C. Moser;John R. Campbell;","Unbundled","0.68","0.65","0.65","0.65","2020-06-11","6,141,742.00","2020-06-11","480,333,441.00","No","0.69","0.65","Retirement","No","-3.81","-3.20","-3.03","-5,111,187.01","8,853,796.86","","-438,390,816.99","-496,326,873.69","-234,280,694.93","Yes","0.11","0.14","0.15","0.15","486","6,086","20,749","20,749","0.11","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","29,878.00","31,169.00","30,945.00","31,331.00","31,672.00","47,797.00","121,854.00","570,991.00","589,083.00","611,617.00","629,746.00","633,266.00","695,296.00","999,564.00","949,150.00","13,615,508.00","14,310,800.00","14,356,408.00","15,224,280.00","15,785,438.00","15,007,054.00","14,265,955.00","14,529,206.00","11,334,163.00","12,278,033.00","13,007,367.00","13,126,540.00","13,448,799.00","12,121,160.00","13,089,910.00","13,223,127.00","12,684,285.00","12,963,685.00","13,109,147.00","13,286,529.00","8,605,840.00"
"Wells Fargo Large Cap Growth A","STAFX","US Fund Large Growth","U.S. Equity","Wells Fargo Funds","2010-07-30","Thomas C. Ognar;Joseph M. Eberhardy;Robert Gruendyke;","Bundled","1.07","1.07","1.07","1.07","2020-06-11","528,003,313.00","2020-06-11","972,953,859.00","No","0.69","1.07","A","No","6.20","5.91","2.34","-56,698,788.32","-228,528,307.18","-449,697,812.45","-152,516,099.11","-640,769,925.32","-1,288,212,399.58","No","0.10","0.10","0.11","0.11","510,252","535,440","557,910","557,910","0.11","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","512,811,185.00","522,641,398.00","516,583,735.00","522,787,113.00","528,561,368.00","508,239,299.00","520,770,384.00","521,073,829.00","527,214,082.00","540,905,151.00","500,805,540.00","492,921,598.00","532,947,332.00","521,813,440.00","504,729,016.00","503,842,352.00","525,989,930.00","524,463,742.00","534,852,309.00","555,660,176.00","559,422,663.00","498,715,578.00","502,718,780.00","445,520,650.00","484,474,239.00","504,385,816.00","512,880,381.00","538,060,514.00","502,277,063.00","526,358,313.00","529,256,305.00","514,509,342.00","511,132,142.00","513,105,462.00","529,832,545.00","534,975,282.00"
"Wells Fargo Large Cap Growth Admin","STDFX","US Fund Large Growth","U.S. Equity","Wells Fargo Funds","2010-07-30","Thomas C. Ognar;Joseph M. Eberhardy;Robert Gruendyke;","Semi-bundled","0.95","0.95","0.95","0.95","2020-06-11","72,669,861.00","2020-06-11","972,953,859.00","No","0.69","0.95","Other","No","6.29","6.02","2.46","-1,477,366.99","-40,485,361.40","-233,942,277.72","-152,516,099.11","-640,769,925.32","-1,288,212,399.58","No","0.10","0.10","0.11","0.11","165,316","76,366","72,237","72,237","0.15","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","203,929,785.00","209,941,896.00","159,566,226.00","83,975,756.00","81,332,762.00","79,833,866.00","81,824,987.00","81,019,620.00","66,411,524.00","68,931,329.00","68,522,341.00","68,911,953.00","76,137,323.00","74,876,524.00","72,815,211.00","73,472,557.00","76,635,831.00","77,089,224.00","79,138,717.00","77,209,828.00","76,890,493.00","68,268,006.00","65,383,807.00","55,646,212.00","60,558,072.00","63,076,325.00","63,853,856.00","67,349,921.00","62,642,396.00","66,274,424.00","67,158,689.00","65,965,981.00","66,309,951.00","66,978,382.00","69,490,631.00","70,911,421.00"
"Wells Fargo Large Cap Growth C","STOFX","US Fund Large Growth","U.S. Equity","Wells Fargo Funds","2010-07-30","Thomas C. Ognar;Joseph M. Eberhardy;Robert Gruendyke;","Bundled","1.82","1.82","1.82","1.82","2020-06-11","10,086,568.00","2020-06-11","972,953,859.00","No","0.69","1.82","C","No","5.43","5.14","1.58","-3,267,750.51","-10,492,077.31","-19,857,253.15","-152,516,099.11","-640,769,925.32","-1,288,212,399.58","No","0.10","0.10","0.11","0.11","15,378","15,644","14,323","14,323","0.11","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","15,571,376.00","15,389,124.00","14,839,508.00","14,818,192.00","14,977,325.00","14,717,601.00","14,639,968.00","14,588,049.00","14,603,603.00","14,987,124.00","15,307,167.00","14,856,815.00","15,970,375.00","15,471,716.00","14,923,928.00","15,194,018.00","15,800,517.00","15,443,856.00","15,602,344.00","16,146,003.00","15,909,059.00","14,095,170.00","14,129,740.00","12,265,720.00","13,282,859.00","11,995,053.00","12,042,886.00","12,328,169.00","11,685,725.00","11,626,327.00","11,508,754.00","11,119,576.00","11,115,968.00","10,500,244.00","10,766,964.00","10,815,162.00"
"Wells Fargo Large Cap Growth Inst","STNFX","US Fund Large Growth","U.S. Equity","Wells Fargo Funds","2010-07-30","Thomas C. Ognar;Joseph M. Eberhardy;Robert Gruendyke;","Semi-bundled","0.75","0.75","0.75","0.75","2020-06-11","65,800,734.00","2020-06-11","972,953,859.00","Yes","0.69","0.75","Inst","No","6.50","6.22","2.66","-22,521,531.85","-187,954,035.87","-647,672,049.21","-152,516,099.11","-640,769,925.32","-1,288,212,399.58","No","0.10","0.10","0.11","0.11","218,835","131,343","88,561","88,561","0.10","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","231,128,641.00","237,846,182.00","234,063,056.00","222,517,087.00","203,114,939.00","194,427,459.00","180,861,458.00","153,045,252.00","151,812,796.00","157,279,388.00","159,159,451.00","133,893,266.00","143,901,589.00","100,163,480.00","96,693,054.00","94,534,256.00","94,455,153.00","95,708,260.00","96,118,676.00","95,817,727.00","92,340,945.00","82,714,764.00","83,808,658.00","68,856,958.00","74,781,198.00","77,081,361.00","78,109,185.00","81,747,329.00","76,275,777.00","80,168,982.00","80,214,210.00","73,781,120.00","73,368,630.00","73,660,515.00","74,871,455.00","73,350,782.00"
"Wells Fargo Large Cap Growth R","STMFX","US Fund Large Growth","U.S. Equity","Wells Fargo Funds","2012-06-15","Thomas C. Ognar;Joseph M. Eberhardy;Robert Gruendyke;","Bundled","1.32","1.32","1.32","1.32","2020-06-11","2,655,309.00","2020-06-11","972,953,859.00","No","0.69","1.32","Retirement","No","5.92","5.65","2.07","-2,337,416.94","-6,062,651.03","-12,338,264.23","-152,516,099.11","-640,769,925.32","-1,288,212,399.58","No","0.10","0.10","0.11","0.11","6,618","6,260","5,597","5,597","0.11","2020-11-30","Contractual","500,000,000.00","1,000,000,000.00","2,000,000,000.00","4,000,000,000.00","5,000,000,000.00","8,000,000,000.00","10,000,000,000.00","12,000,000,000.00","16,000,000,000.00","Monetary/Dollars","6,762,705.00","6,985,797.00","6,439,705.00","6,375,709.00","6,290,434.00","6,277,683.00","6,385,034.00","6,212,037.00","6,261,494.00","6,326,109.00","6,441,098.00","6,130,008.00","6,121,952.00","5,743,483.00","5,839,103.00","5,856,063.00","6,020,370.00","5,955,066.00","5,661,708.00","5,958,161.00","5,937,083.00","5,693,147.00","5,737,186.00","5,063,702.00","5,154,538.00","5,167,243.00","5,222,408.00","4,584,932.00","4,335,171.00","4,536,243.00","4,498,849.00","4,518,175.00","4,504,933.00","4,236,637.00","4,384,620.00","4,554,577.00"
